nodeID nodeLabel
1 Neisseriaceae(100);Stenoxybacter(69);
2 Neisseriales(100);Neisseriaceae(100);
3 Incertae_Sedis_XI(100);Anaerococcus(100);
4 Incertae_Sedis_XI(100);Peptoniphilus(100);
5 Incertae_Sedis_XI(100);Finegoldia(100);
6 Corynebacteriaceae(100);Corynebacterium(100);
7 Carnobacteriaceae(100);Dolosigranulum(100);
8 Bacteroidaceae(100);Bacteroides(100);
9 Bacteroidaceae(100);Bacteroides(100);
10 Propionibacteriaceae(100);Propionibacterium(100);
11 Staphylococcaceae(99);Staphylococcus(99);
12 Bacteroidaceae(100);Bacteroides(100);
13 Clostridiales(100);Ruminococcaceae(100);
14 Streptococcaceae(100);Streptococcus(100);
15 Pasteurellales(100);Pasteurellaceae(100);
16 Veillonellaceae(100);Veillonella(95);
17 Streptococcaceae(100);Streptococcus(100);
18 Clostridia(100);Clostridiales(100);
19 Peptostreptococcaceae(100);Sporacetigenium(100);
20 Bacilli(100);Lactobacillales(100);
21 Moraxellaceae(100);Moraxella(100);
22 Staphylococcaceae(100);Gemella(100);
23 Fusobacteriaceae(100);Fusobacterium(100);
24 Porphyromonadaceae(100);Porphyromonas(100);
25 Corynebacteriaceae(100);Corynebacterium(100);
26 Corynebacteriaceae(100);Corynebacterium(100);
27 Corynebacteriaceae(100);Corynebacterium(100);
28 Neisseriaceae(100);Neisseria(69);
29 Pasteurellales(100);Pasteurellaceae(100);
30 Actinomycetales(100);Micrococcaceae(100);
31 Porphyromonadaceae(100);Parabacteroides(100);
32 Porphyromonadaceae(100);Parabacteroides(69);
33 Neisseriaceae(100);Neisseria(95);
34 Prevotellaceae(100);Prevotella(100);
35 Veillonellaceae(100);Dialister(100);
36 Clostridia(100);Clostridiales(100);
37 Campylobacteraceae(100);Campylobacter(100);
38 Bacteroidia(59);Bacteroidales(59);
39 Prevotellaceae(100);Prevotella(100);
40 Prevotellaceae(100);Prevotella(100);
41 Lactobacillales(100);Aerococcaceae(100);
